Date,Brand,Type,Buy,Sell,Spread
2025-03-01 13:15:00,NGOC-THAM,Bullion,88600.0,91100.0,2500.0
2025-03-01 13:15:00,NGOC-THAM,Ring,88600.0,90800.0,2200.0
2025-03-01 15:10:00,DOJI,Bullion,88500.0,90500.0,2000.0
2025-03-01 15:10:00,DOJI,Ring,90000.0,91000.0,1000.0
2025-03-01 15:10:00,PNJ,Bullion,88500.0,90500.0,2000.0
2025-03-01 15:10:00,PNJ,Ring,89800.0,90500.0,700.0
2025-03-01 15:10:00,SJC,Bullion,88500.0,90500.0,2000.0
2025-03-01 15:10:00,SJC,Ring,88500.0,90400.0,1900.0
2025-03-01 15:15:00,PHU-QUY,Bullion,88700.0,90500.0,1800.0
2025-03-01 15:15:00,PHU-QUY,Ring,89700.0,91200.0,1500.0
2025-03-01 15:15:00,BAO-TIN-MINH-CHAU,Bullion,88700.0,90500.0,1800.0
2025-03-01 15:15:00,BAO-TIN-MINH-CHAU,Ring,90100.0,91300.0,1200.0
2025-03-01 15:15:00,BAO-TIN-MANH-HAI,Ring,90100.0,90100.0,0.0
2025-03-01 15:15:00,MI-HONG,Bullion,90700.0,91400.0,700.0
2025-03-01 15:15:00,MI-HONG,Ring,90500.0,91400.0,900.0
2025-03-01 15:15:00,NGOC-THAM,Bullion,88800.0,91300.0,2500.0
2025-03-01 15:15:00,NGOC-THAM,Ring,88800.0,91000.0,2200.0
2025-03-01 18:05:00,DOJI,Bullion,88500.0,90500.0,2000.0
2025-03-01 18:05:00,DOJI,Ring,90000.0,91000.0,1000.0
2025-03-01 18:05:00,PNJ,Bullion,88500.0,90500.0,2000.0
2025-03-01 18:05:00,PNJ,Ring,89800.0,90500.0,700.0
2025-03-01 18:05:00,SJC,Bullion,88500.0,90500.0,2000.0
2025-03-01 18:05:00,SJC,Ring,88500.0,90400.0,1900.0
2025-03-01 18:05:00,PHU-QUY,Bullion,88700.0,90500.0,1800.0
2025-03-01 18:05:00,PHU-QUY,Ring,89700.0,91200.0,1500.0
2025-03-01 18:05:00,BAO-TIN-MINH-CHAU,Bullion,88700.0,90500.0,1800.0
2025-03-01 18:05:00,BAO-TIN-MINH-CHAU,Ring,90100.0,91300.0,1200.0
2025-03-01 18:05:00,BAO-TIN-MANH-HAI,Ring,90100.0,90100.0,0.0
2025-03-01 18:05:00,MI-HONG,Bullion,90200.0,91400.0,1200.0
2025-03-01 18:05:00,MI-HONG,Ring,90000.0,91400.0,1400.0
2025-03-01 18:10:00,NGOC-THAM,Bullion,89100.0,91600.0,2500.0
2025-03-01 18:10:00,NGOC-THAM,Ring,89100.0,91300.0,2200.0
2025-03-03 09:15:00,DOJI,Bullion,89000.0,91000.0,2000.0
2025-03-03 09:15:00,DOJI,Ring,90500.0,91500.0,1000.0
2025-03-03 09:15:00,PNJ,Bullion,89000.0,91000.0,2000.0
2025-03-03 09:15:00,PNJ,Ring,90000.0,91000.0,1000.0
2025-03-03 09:15:00,SJC,Bullion,89000.0,91000.0,2000.0
2025-03-03 09:15:00,SJC,Ring,89000.0,90900.0,1900.0
2025-03-03 09:15:00,PHU-QUY,Bullion,89300.0,91000.0,1700.0
2025-03-03 09:15:00,PHU-QUY,Ring,90300.0,91700.0,1400.0
2025-03-03 09:15:00,BAO-TIN-MINH-CHAU,Bullion,89300.0,91000.0,1700.0
2025-03-03 09:15:00,BAO-TIN-MINH-CHAU,Ring,90500.0,91700.0,1200.0
2025-03-03 09:15:00,BAO-TIN-MANH-HAI,Ring,90500.0,90500.0,0.0
2025-03-03 09:15:00,MI-HONG,Bullion,90500.0,91000.0,500.0
2025-03-03 09:15:00,MI-HONG,Ring,90500.0,91500.0,1000.0
2025-03-03 09:15:00,NGOC-THAM,Bullion,89300.0,91800.0,2500.0
2025-03-03 09:15:00,NGOC-THAM,Ring,89300.0,91500.0,2200.0
2025-03-03 10:20:00,DOJI,Bullion,89000.0,91000.0,2000.0
2025-03-03 10:20:00,DOJI,Ring,90500.0,91500.0,1000.0
2025-03-03 10:20:00,PNJ,Bullion,89000.0,91000.0,2000.0
